dataset,model,horizon,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2021/22,2:1,2,1,fold,17736.590695696912,13235.359415699018,4501.231279997895,0.6031746031746031,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2021/22,3:1,3,1,fold,23677.72353349045,18539.949504116616,5137.774029373835,0.6320346320346321,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2021/22,5:1,5,1,fold,33860.2975251378,27194.70417434457,6665.593350793237,0.7200577200577201,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2021/22,10:1,10,1,fold,57253.94657240261,48515.42383172469,8738.522740677903,0.8080808080808081,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2022/23,2:1,2,1,fold,18703.351577719226,14891.905280844072,3811.446296875154,0.47186147186147187,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2022/23,3:1,3,1,fold,24612.838090608086,19817.91553423198,4794.922556376109,0.5209235209235209,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2022/23,5:1,5,1,fold,30383.151917312043,21556.32763734024,8826.8242799718,0.6176046176046176,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2022/23,10:1,10,1,fold,53483.02008199757,33200.21996198781,20282.80012000976,0.7258297258297258,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2023/24,2:1,2,1,fold,13378.295340607978,1264.8785203005082,12113.41682030747,0.8658008658008658,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2023/24,3:1,3,1,fold,15795.848399103435,1133.8027042878343,14662.045694815599,0.9062049062049062,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2023/24,5:1,5,1,fold,19259.648944000677,889.9090372326855,18369.739906767994,0.948051948051948,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2023/24,10:1,10,1,fold,24202.725198322878,857.2940411861733,23345.431157136707,0.9783549783549783,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2024/25,2:1,2,1,fold,13194.136149688307,9794.86290162517,3399.273248063138,0.6277056277056277,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2024/25,3:1,3,1,fold,16327.889049029987,11979.946925303528,4347.94212372646,0.6868686868686869,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2024/25,5:1,5,1,fold,20281.423095428778,14361.704109803923,5919.718985624853,0.7546897546897547,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,2,2024/25,10:1,10,1,fold,28090.79425209669,18912.096123344632,9178.698128752058,0.8383838383838383,33,21
